Year,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Region
2021,Douglas,NE,Passenger,1,1,2,54,56,3.57,Midwest
2022,Williamsburg,VA,Passenger,0,1,1,6,7,14.29,South
2020,Harris,TX,Passenger,1,0,1,243,244,0.41,South
2021,Anne Arundel,MD,Passenger,4,2,6,365,371,1.62,Northeast
2021,Miami-Dade,FL,Passenger,1,0,1,95,96,1.04,South
2019,Camden,NJ,Passenger,0,1,1,23,24,4.17,Northeast
2022,Goochland,VA,Passenger,0,1,1,65,66,1.52,South
2020,Charleston,SC,Passenger,1,0,1,111,112,0.89,South
2020,Duval,FL,Passenger,0,2,2,362,364,0.55,South
2022,Howard,MD,Passenger,0,2,2,59,61,3.28,Northeast
2021,Harford,MD,Passenger,0,1,1,53,54,1.85,Northeast
2017,Albemarle,VA,Passenger,0,1,1,31,32,3.12,South
2018,Santa Cruz,CA,Passenger,1,0,1,42,43,2.33,West
2019,Nassau,NY,Passenger,3,0,3,39,42,7.14,Northeast
2020,Spartanburg,SC,Passenger,0,1,1,51,52,1.92,South
2021,Mercer,NJ,Passenger,0,1,1,12,13,7.69,Northeast
2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.5,South
2022,Sacramento,CA,Passenger,2,0,2,212,214,0.93,West
2022,Sumter,SC,Passenger,0,1,1,32,33,3.03,South
2018,Tuolumne,CA,Passenger,0,1,1,12,13,7.69,West
2023,Virginia Beach,VA,Passenger,3,1,4,444,448,0.89,South
2018,Maui,HI,Passenger,1,0,1,65,66,1.52,West
2023,Montgomery,MD,Passenger,4,4,8,166,174,4.6,Northeast
2021,Sacramento,CA,Passenger,2,0,2,225,227,0.88,West
2020,Norfolk,VA,Passenger,2,3,5,343,348,1.44,South
2020,Dallas,IA,Passenger,0,1,1,10,11,9.09,Midwest
2020,Charles,MD,Passenger,0,1,1,77,78,1.28,Northeast
2020,Norfolk,VA,Passenger,2,2,4,346,350,1.14,South
2020,Multnomah,OR,Passenger,3,6,9,686,695,1.29,West
2018,Palm Beach,FL,Passenger,0,1,1,83,84,1.19,South
2020,Solano,CA,Passenger,1,0,1,216,217,0.46,West
2019,Clackamas,OR,Passenger,2,1,3,210,213,1.41,West
2022,Sumter,SC,Passenger,0,1,1,34,35,2.86,South
2022,District of Columbia,DC,Passenger,3,0,3,157,160,1.88,
2021,Larimer,CO,Passenger,1,0,1,48,49,2.04,West
2022,Rockingham,NH,Passenger,1,0,1,15,16,6.25,Northeast
2020,Moore,NC,Passenger,0,1,1,164,165,0.61,South
2019,Houston,GA,Passenger,1,0,1,54,55,1.82,South
2018,Canyon,ID,Passenger,0,1,1,97,98,1.02,West
2017,Dale,AL,Passenger,0,1,1,63,64,1.56,South
2017,Franklin,MA,Passenger,0,1,1,4,5,20.0,Northeast
2023,Williamsburg,VA,Passenger,0,1,1,8,9,11.11,South
2022,Montgomery,MD,Passenger,4,3,7,187,194,3.61,Northeast
2021,Los Angeles,CA,Passenger,6,9,15,870,885,1.69,West
2023,Palm Beach,FL,Passenger,1,0,1,40,41,2.44,South
2017,Orange,CA,Passenger,3,1,4,639,643,0.62,West
2020,Hillsborough,FL,Passenger,0,1,1,171,172,0.58,South
2023,Santa Barbara,CA,Passenger,1,0,1,60,61,1.64,West
2022,DeKalb,GA,Passenger,1,0,1,51,52,1.92,South
2019,Kootenai,ID,Passenger,1,1,2,217,219,0.91,West
2022,Henrico,VA,Passenger,0,1,1,12,13,7.69,South
2021,Lake,FL,Passenger,1,0,1,21,22,4.55,South
2021,Fairbanks North Star,AK,Passenger,0,1,1,75,76,1.32,West
2019,Sangamon,IL,Passenger,1,0,1,8,9,11.11,Midwest
2021,Howard,IN,Passenger,0,1,1,5,6,16.67,Midwest
2021,Riverside,CA,Passenger,5,1,6,540,546,1.1,West
2021,Utah,UT,Passenger,0,1,1,129,130,0.77,West
2019,Mecklenburg,NC,Passenger,1,0,1,79,80,1.25,South
2020,Alexandria,VA,Passenger,2,0,2,138,140,1.43,South
2023,Saratoga,NY,Passenger,1,1,2,29,31,6.45,Northeast
2018,Tulsa,OK,Passenger,1,1,2,48,50,4.0,South
2022,Currituck,NC,Passenger,1,0,1,21,22,4.55,South
2022,Flathead,MT,Passenger,1,0,1,38,39,2.56,West
2019,Santa Rosa,FL,Passenger,1,0,1,88,89,1.12,South
2021,Honolulu,HI,Passenger,5,2,7,415,422,1.66,West
2019,Fresno,CA,Passenger,1,0,1,196,197,0.51,West
2019,Kern,CA,Passenger,0,1,1,233,234,0.43,West
2023,Middlesex,MA,Passenger,2,1,3,63,66,4.55,Northeast
2023,Henrico,VA,Passenger,0,1,1,5,6,16.67,South
2022,Sumter,SC,Passenger,0,1,1,36,37,2.7,South
2019,Virginia Beach,VA,Passenger,1,1,2,706,708,0.28,South
2019,Clay,FL,Passenger,0,1,1,85,86,1.16,South
2023,Philadelphia,PA,Passenger,1,0,1,37,38,2.63,Northeast
2022,Washington,MD,Passenger,2,0,2,14,16,12.5,Northeast
2022,Hamilton,OH,Passenger,1,0,1,29,30,3.33,Midwest
2023,Harnett,NC,Passenger,4,0,4,122,126,3.17,South
2019,Lake,IL,Passenger,1,0,1,170,171,0.58,Midwest
2018,Rogers,OK,Passenger,1,0,1,6,7,14.29,South
2020,San Diego,CA,Passenger,15,4,19,2737,2756,0.69,West
2018,DuPage,IL,Passenger,1,0,1,68,69,1.45,Midwest
2021,Travis,TX,Passenger,2,3,5,169,174,2.87,South
2020,Boulder,CO,Passenger,1,1,2,47,49,4.08,West
2023,Escambia,FL,Passenger,0,1,1,118,119,0.84,South
2023,Carroll,MD,Passenger,0,1,1,18,19,5.26,Northeast
2021,Miami-Dade,FL,Passenger,1,0,1,97,98,1.02,South
2022,Williamson,TX,Passenger,1,2,3,88,91,3.3,South
2022,Placer,CA,Passenger,2,0,2,76,78,2.56,West
2021,Escambia,FL,Passenger,0,1,1,142,143,0.7,South
2023,Saratoga,NY,Passenger,1,1,2,30,32,6.25,Northeast
2021,Lee,FL,Passenger,1,0,1,37,38,2.63,South
2022,Orange,NC,Passenger,0,1,1,9,10,10.0,South
2020,Jones,GA,Passenger,1,0,1,1,2,50.0,South
2021,Las Animas,CO,Passenger,1,0,1,0,1,100.0,West
2020,District of Columbia,DC,Passenger,3,1,4,200,204,1.96,
2018,Clark,NV,Passenger,3,2,5,723,728,0.69,West
2022,Charleston,SC,Passenger,2,2,4,59,63,6.35,South
2021,Hawaii,HI,Passenger,1,0,1,48,49,2.04,West
2022,Queens,NY,Passenger,1,0,1,38,39,2.56,Northeast
2023,Jefferson,NY,Passenger,2,1,3,181,184,1.63,Northeast
2021,New London,CT,Passenger,1,2,3,227,230,1.3,Northeast
2023,Hoke,NC,Passenger,2,0,2,55,57,3.51,South
2022,Santa Clara,CA,Passenger,10,1,11,229,240,4.58,West
2020,Honolulu,HI,Passenger,4,2,6,489,495,1.21,West
2020,Fairfax,VA,Passenger,5,3,8,744,752,1.06,South
2017,Latah,ID,Passenger,0,1,1,93,94,1.06,West
2019,Montgomery,MD,Passenger,1,0,1,279,280,0.36,Northeast
2022,Goochland,VA,Passenger,3,2,5,169,174,2.87,South
2022,Kauai,HI,Passenger,1,0,1,19,20,5.0,West
2021,Sumter,SC,Passenger,0,1,1,38,39,2.56,South
2019,DeKalb,IN,Passenger,1,0,1,1,2,50.0,Midwest
2019,Garfield,OK,Passenger,1,0,1,13,14,7.14,South
2017,Prince George's,MD,Passenger,0,1,1,182,183,0.55,Northeast
2021,Richland,SC,Passenger,0,2,2,135,137,1.46,South
2022,New York,NY,Passenger,1,0,1,38,39,2.56,Northeast
2019,Mecklenburg,NC,Passenger,1,0,1,86,87,1.15,South
2023,Bartow,GA,Passenger,0,1,1,3,4,25.0,South
2021,Frederick,MD,Passenger,1,1,2,72,74,2.7,Northeast
2020,Montgomery,OH,Passenger,0,1,1,47,48,2.08,Midwest
2023,Shelby,AL,Passenger,1,0,1,5,6,16.67,South
2022,San Mateo,CA,Passenger,1,0,1,74,75,1.33,West
2018,Kalamazoo,MI,Passenger,1,0,1,16,17,5.88,Midwest
2022,Hawaii,HI,Passenger,1,0,1,40,41,2.44,West
2018,DeKalb,GA,Passenger,1,0,1,84,85,1.18,South
2022,Lee,FL,Passenger,1,0,1,30,31,3.23,South
2023,Nueces,TX,Passenger,0,1,1,48,49,2.04,South
2020,Randolph,NC,Passenger,1,0,1,7,8,12.5,South
2019,Multnomah,OR,Passenger,5,5,10,738,748,1.34,West
2017,Travis,TX,Passenger,0,1,1,195,196,0.51,South
2018,Nantucket,MA,Passenger,1,0,1,4,5,20.0,Northeast
2021,Ray,MO,Passenger,0,1,1,1,2,50.0,Midwest
2022,Cook,IL,Passenger,3,0,3,170,173,1.73,Midwest
2023,Contra Costa,CA,Passenger,0,3,3,208,211,1.42,West
2022,Larimer,CO,Passenger,1,0,1,50,51,1.96,West
2022,San Diego,CA,Passenger,15,8,23,2435,2458,0.94,West
2020,Lake,IL,Passenger,1,0,1,169,170,0.59,Midwest
2022,Mercer,NJ,Passenger,0,1,1,11,12,8.33,Northeast
2023,Sarpy,NE,Passenger,1,0,1,44,45,2.22,Midwest
2022,Deschutes,OR,Passenger,1,0,1,72,73,1.37,West
2017,Riverside,CA,Passenger,1,2,3,766,769,0.39,West
2020,Sedgwick,KS,Passenger,1,1,2,93,95,2.11,Midwest
2022,Lincoln,OR,Passenger,0,1,1,26,27,3.7,West
2018,Gwinnett,GA,Passenger,0,1,1,84,85,1.18,South
2021,St. Mary's,MD,Passenger,1,0,1,207,208,0.48,Northeast
2019,Pinal,AZ,Passenger,2,0,2,193,195,1.03,West
2019,Tuolumne,CA,Passenger,0,1,1,12,13,7.69,West
2019,Norfolk,VA,Passenger,2,2,4,342,346,1.16,South
2019,Ada,ID,Passenger,0,2,2,312,314,0.64,West
2019,Denver,CO,Passenger,1,0,1,133,134,0.75,West
2020,Bucks,PA,Passenger,1,0,1,22,23,4.35,Northeast
2021,Harrison,MS,Passenger,2,0,2,50,52,3.85,South
2023,Howard,MD,Passenger,0,2,2,45,47,4.26,Northeast
2019,Eagle,CO,Passenger,1,0,1,6,7,14.29,West
2018,Volusia,FL,Passenger,0,1,1,34,35,2.86,South
2019,Arlington,VA,Passenger,0,2,2,155,157,1.27,South
2018,Contra Costa,CA,Passenger,0,2,2,422,424,0.47,West
2022,Onslow,NC,Passenger,0,1,1,161,162,0.62,South
2021,Montgomery,TX,Passenger,1,1,2,42,44,4.55,South
2019,Lumpkin,GA,Passenger,1,0,1,6,7,14.29,South
2020,New London,CT,Passenger,0,2,2,250,252,0.79,Northeast
2017,Santa Fe,NM,Passenger,0,1,1,44,45,2.22,West
2018,DeKalb,GA,Passenger,1,0,1,87,88,1.14,South
2022,Champaign,IL,Passenger,1,0,1,12,13,7.69,Midwest
2017,Dale,AL,Passenger,0,1,1,62,63,1.59,South
2022,Kauai,HI,Passenger,1,0,1,16,17,5.88,West
2021,New London,CT,Passenger,1,2,3,225,228,1.32,Northeast
2022,Monterey,CA,Passenger,1,2,3,124,127,2.36,West
2020,Penobscot,ME,Passenger,0,1,1,16,17,5.88,Northeast
2020,Nueces,TX,Passenger,1,0,1,82,83,1.2,South
2022,Norfolk,VA,Passenger,3,3,6,285,291,2.06,South
2020,Morris,NJ,Passenger,1,0,1,18,19,5.26,Northeast
2020,Goochland,VA,Passenger,3,2,5,252,257,1.95,South
2021,Powhatan,VA,Passenger,1,0,1,1,2,50.0,South
2022,Bell,TX,Passenger,1,0,1,353,354,0.28,South
2021,Norfolk,VA,Passenger,3,3,6,321,327,1.83,South
2022,San Joaquin,CA,Passenger,1,1,2,94,96,2.08,West
2021,Arapahoe,CO,Passenger,1,0,1,115,116,0.86,West
2020,Stafford,VA,Passenger,1,1,2,88,90,2.22,South
2017,Hawaii,HI,Passenger,1,0,1,80,81,1.23,West
2021,Hawaii,HI,Passenger,1,0,1,45,46,2.17,West
2019,Washtenaw,MI,Passenger,1,0,1,40,41,2.44,Midwest
2019,Klamath,OR,Passenger,1,0,1,37,38,2.63,West
2019,Ada,ID,Passenger,0,2,2,315,317,0.63,West
2021,Riverside,CA,Passenger,5,1,6,520,526,1.14,West
2021,Baltimore,MD,Passenger,1,0,1,101,102,0.98,Northeast
2018,Kootenai,ID,Passenger,0,1,1,224,225,0.44,West
2022,Richmond,NY,Passenger,1,0,1,4,5,20.0,Northeast
2023,Kauai,HI,Passenger,1,1,2,14,16,12.5,West
2020,Hennepin,MN,Passenger,2,0,2,83,85,2.35,Midwest
2020,Solano,CA,Passenger,1,0,1,209,210,0.48,West
2017,Northampton,PA,Passenger,2,0,2,209,211,0.95,Northeast
2020,Vigo,IN,Passenger,1,0,1,6,7,14.29,Midwest
2021,Alexandria,VA,Passenger,2,0,2,123,125,1.6,South
2018,Ada,ID,Passenger,0,2,2,337,339,0.59,West
2018,Deschutes,OR,Passenger,3,0,3,167,170,1.76,West
2019,New Haven,CT,Passenger,0,2,2,48,50,4.0,Northeast
2020,Prince William,VA,Passenger,2,3,5,216,221,2.26,South
2022,Suffolk,VA,Passenger,1,0,1,122,123,0.81,South
2018,Sedgwick,KS,Passenger,0,1,1,99,100,1.0,Midwest
2022,Alameda,CA,Passenger,5,0,5,205,210,2.38,West
2023,Los Angeles,CA,Passenger,4,4,8,601,609,1.31,West
2022,Collier,FL,Passenger,1,0,1,14,15,6.67,South
2023,Plaquemines,LA,Passenger,1,1,2,13,15,13.33,South
2020,Greene,MO,Passenger,0,1,1,36,37,2.7,Midwest
2019,Shelby,TN,Passenger,0,1,1,96,97,1.03,South
2017,Allegheny,PA,Passenger,1,0,1,93,94,1.06,Northeast
2017,Duval,FL,Passenger,1,1,2,378,380,0.53,South
2022,Monterey,CA,Passenger,1,2,3,129,132,2.27,West
2020,Washington,OR,Passenger,1,0,1,465,466,0.21,West
2022,Burlington,NJ,Passenger,0,2,2,103,105,1.9,Northeast
2023,Kootenai,ID,Truck,1,0,1,21,22,4.55,West
2021,Shelby,OH,Passenger,0,1,1,1,2,50.0,Midwest
2019,Santa Rosa,FL,Passenger,1,0,1,91,92,1.09,South
2021,Plaquemines,LA,Passenger,0,1,1,16,17,5.88,South
2022,Plaquemines,LA,Passenger,1,1,2,16,18,11.11,South
2020,Wilson,TX,Passenger,0,1,1,7,8,12.5,South
2020,Carson City,NV,Passenger,1,0,1,10,11,9.09,West
2017,Polk,FL,Passenger,1,0,1,67,68,1.47,South
2021,Broward,FL,Passenger,1,0,1,110,111,0.9,South
2019,Hillsborough,FL,Passenger,0,1,1,192,193,0.52,South
2022,Calvert,MD,Passenger,0,2,2,76,78,2.56,Northeast
2022,Anchorage,AK,Passenger,2,0,2,125,127,1.57,West
2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.0,
2019,Portsmouth,VA,Passenger,0,1,1,76,77,1.3,South
2017,Pinal,AZ,Passenger,2,0,2,281,283,0.71,West
2022,Hennepin,MN,Passenger,1,0,1,48,49,2.04,Midwest
2020,Kern,CA,Passenger,0,1,1,227,228,0.44,West
2020,Vigo,IN,Passenger,1,0,1,6,7,14.29,Midwest
2017,Hamilton,TN,Passenger,1,0,1,19,20,5.0,South
2023,Bell,TX,Passenger,1,0,1,225,226,0.44,South
2019,Bergen,NJ,Passenger,1,0,1,25,26,3.85,Northeast
2020,Monroe,IL,Passenger,1,0,1,3,4,25.0,Midwest
2017,New London,CT,Passenger,1,1,2,249,251,0.8,Northeast
2018,Multnomah,OR,Passenger,3,5,8,758,766,1.04,West
2023,Sacramento,CA,Passenger,4,0,4,174,178,2.25,West
2022,Boulder,CO,Passenger,2,0,2,37,39,5.13,West
2022,Sarasota,FL,Passenger,1,0,1,21,22,4.55,South
2021,Marion,IA,Passenger,1,0,1,0,1,100.0,Midwest
2021,Washington,OR,Passenger,1,0,1,370,371,0.27,West
2019,St. Mary's,MD,Passenger,1,0,1,220,221,0.45,Northeast
2018,Boulder,CO,Passenger,1,0,1,50,51,1.96,West
2019,Manatee,FL,Passenger,1,0,1,33,34,2.94,South
2022,Montgomery,AL,Passenger,0,1,1,35,36,2.78,South
2021,Tulsa,OK,Passenger,1,0,1,43,44,2.27,South
2020,El Paso,CO,Passenger,2,1,3,716,719,0.42,West
2020,Richmond,GA,Passenger,0,1,1,81,82,1.22,South
2023,Hawaii,HI,Passenger,1,0,1,26,27,3.7,West
2022,Charles,MD,Passenger,1,1,2,55,57,3.51,Northeast
2022,Orange,CA,Passenger,6,2,8,349,357,2.24,West
2020,Flathead,MT,Passenger,1,0,1,68,69,1.45,West
2021,Middlesex,MA,Passenger,0,1,1,88,89,1.12,Northeast
2017,Mercer,NJ,Passenger,0,1,1,20,21,4.76,Northeast
2022,El Paso,CO,Passenger,3,2,5,544,549,0.91,West
2023,St. Clair,IL,Passenger,1,0,1,91,92,1.09,Midwest
2021,Monterey,CA,Passenger,0,2,2,140,142,1.41,West
2022,Rock Island,IL,Passenger,0,1,1,12,13,7.69,Midwest
2022,San Bernardino,CA,Passenger,1,1,2,319,321,0.62,West
2020,Boone,MO,Passenger,0,1,1,10,11,9.09,Midwest
2022,Escambia,FL,Passenger,0,1,1,128,129,0.78,South
2021,Vigo,IN,Passenger,1,0,1,5,6,16.67,Midwest
2018,Jefferson,NY,Passenger,1,0,1,221,222,0.45,Northeast
2023,Frederick,MD,Passenger,1,0,1,61,62,1.61,Northeast
2021,Douglas,NE,Passenger,1,1,2,50,52,3.85,Midwest
2018,Nassau,NY,Passenger,3,0,3,37,40,7.5,Northeast
2020,Charles,MD,Passenger,1,1,2,78,80,2.5,Northeast
2021,Flathead,MT,Passenger,1,0,1,49,50,2.0,West
2018,Ramsey,MN,Passenger,1,0,1,42,43,2.33,Midwest
2017,Flathead,MT,Passenger,1,0,1,63,64,1.56,West
2022,Randolph,NC,Passenger,1,0,1,5,6,16.67,South
2019,Carroll,NH,Passenger,0,1,1,3,4,25.0,Northeast
2019,Fresno,CA,Passenger,1,0,1,204,205,0.49,West
2019,Anne Arundel,MD,Passenger,1,2,3,441,444,0.68,Northeast
2021,Harnett,NC,Passenger,1,1,2,160,162,1.23,South
2022,Sarpy,NE,Passenger,1,0,1,55,56,1.79,Midwest
2023,Richland,SC,Passenger,0,1,1,100,101,0.99,South
2018,San Juan,PR,Passenger,0,1,1,4,5,20.0,
2021,Lee,FL,Passenger,1,0,1,37,38,2.63,South
2019,Rogers,OK,Passenger,1,0,1,5,6,16.67,South
2023,Randolph,NC,Passenger,1,0,1,3,4,25.0,South
2020,Orange,CA,Passenger,5,3,8,483,491,1.63,West
2021,Louisa,VA,Passenger,0,1,1,1,2,50.0,South
2020,Richmond,GA,Passenger,0,1,1,87,88,1.14,South
2020,Sedgwick,KS,Passenger,1,1,2,92,94,2.13,Midwest
2018,El Paso,TX,Passenger,1,0,1,501,502,0.2,South
2017,Howard,MD,Passenger,0,2,2,92,94,2.13,Northeast
2023,Philadelphia,PA,Passenger,1,0,1,38,39,2.56,Northeast
2019,Carroll,NH,Passenger,0,1,1,3,4,25.0,Northeast
2021,Broward,FL,Passenger,1,0,1,114,115,0.87,South
2023,Chesapeake,VA,Passenger,1,2,3,259,262,1.15,South
2019,New London,CT,Passenger,0,2,2,243,245,0.82,Northeast
2021,Harnett,NC,Passenger,1,1,2,172,174,1.15,South
2022,Cumberland,NC,Passenger,1,4,5,346,351,1.42,South
2019,Twin Falls,ID,Passenger,0,1,1,20,21,4.76,West
2021,Champaign,IL,Passenger,1,0,1,12,13,7.69,Midwest
2017,Dakota,MN,Passenger,0,1,1,37,38,2.63,Midwest
2022,Polk,OR,Passenger,0,1,1,21,22,4.55,West
2021,Camden,NJ,Passenger,0,1,1,14,15,6.67,Northeast
2021,Henrico,VA,Passenger,0,1,1,17,18,5.56,South
2022,Maricopa,AZ,Passenger,7,4,11,1083,1094,1.01,West
2023,Marin,CA,Passenger,0,1,1,25,26,3.85,West
2022,Harrison,MS,Passenger,1,0,1,35,36,2.78,South
2020,Randolph,NC,Passenger,1,0,1,6,7,14.29,South
2020,Montgomery,TX,Passenger,1,0,1,53,54,1.85,South
2017,Santa Clara,CA,Passenger,6,1,7,390,397,1.76,West
2019,Carroll,NH,Passenger,0,1,1,3,4,25.0,Northeast
2018,Deschutes,OR,Passenger,1,0,1,178,179,0.56,West
2018,Lee,FL,Passenger,1,0,1,53,54,1.85,South
2020,Washtenaw,MI,Passenger,1,0,1,37,38,2.63,Midwest
2022,Currituck,NC,Passenger,1,0,1,22,23,4.35,South
2020,Multnomah,OR,Passenger,3,6,9,691,700,1.29,West
2020,Clay,FL,Passenger,0,1,1,81,82,1.22,South
2022,Fresno,CA,Passenger,1,0,1,162,163,0.61,West
2017,Orange,CA,Passenger,3,1,4,619,623,0.64,West
2021,Eagle,CO,Passenger,1,0,1,9,10,10.0,West
2023,Elmore,ID,Passenger,1,0,1,9,10,10.0,West
2018,Williamson,TX,Passenger,0,1,1,159,160,0.62,South
2021,Carson City,NV,Passenger,1,0,1,12,13,7.69,West
2022,Carroll,NH,Passenger,0,1,1,5,6,16.67,Northeast
2023,Larimer,CO,Passenger,1,0,1,39,40,2.5,West
2022,Riverside,CA,Passenger,5,1,6,481,487,1.23,West
2022,Dorchester,SC,Passenger,1,0,1,44,45,2.22,South
2020,Harford,MD,Passenger,0,1,1,59,60,1.67,Northeast
2020,Platte,MO,Passenger,1,0,1,21,22,4.55,Midwest
2022,Carroll,MD,Passenger,0,1,1,19,20,5.0,Northeast
2023,Bell,TX,Passenger,1,0,1,255,256,0.39,South
2022,Kauai,HI,Passenger,1,1,2,14,16,12.5,West
2021,Collin,TX,Passenger,2,1,3,114,117,2.56,South
2023,Okaloosa,FL,Passenger,0,1,1,93,94,1.06,South
2020,Dakota,MN,Passenger,0,1,1,35,36,2.78,Midwest
2022,Geary,KS,Passenger,1,0,1,87,88,1.14,Midwest
2019,Fresno,CA,Passenger,1,0,1,200,201,0.5,West
2017,Montgomery,TX,Passenger,1,0,1,63,64,1.56,South
2019,Randolph,NC,Passenger,1,0,1,6,7,14.29,South
2021,Prince William,VA,Passenger,1,1,2,209,211,0.95,South
2023,Placer,CA,Passenger,1,0,1,58,59,1.69,West
2021,Sumter,SC,Passenger,0,1,1,34,35,2.86,South
2019,Eagle,CO,Passenger,1,0,1,6,7,14.29,West
2021,Los Angeles,CA,Passenger,9,11,20,897,917,2.18,West
2023,Bexar,TX,Passenger,3,3,6,372,378,1.59,South
2022,Allegheny,PA,Passenger,1,1,2,57,59,3.39,Northeast
2019,DuPage,IL,Passenger,3,0,3,63,66,4.55,Midwest
2021,Kings,NY,Passenger,1,0,1,66,67,1.49,Northeast
2021,Chesapeake,VA,Passenger,0,2,2,403,405,0.49,South
2023,Charles,MD,Passenger,1,1,2,54,56,3.57,Northeast
2017,Collier,FL,Passenger,1,0,1,23,24,4.17,South
2017,Nantucket,MA,Passenger,1,0,1,3,4,25.0,Northeast
2021,Kings,CA,Passenger,1,0,1,328,329,0.3,West
2021,Kern,CA,Passenger,0,1,1,220,221,0.45,West
2020,Fairbanks North Star,AK,Passenger,0,1,1,98,99,1.01,West
2021,Wood,OH,Passenger,0,1,1,7,8,12.5,Midwest
2021,Penobscot,ME,Passenger,0,1,1,9,10,10.0,Northeast
2021,Williams,ND,Passenger,0,1,1,8,9,11.11,Midwest
2022,Bexar,TX,Passenger,4,3,7,448,455,1.54,South
2018,Norfolk,MA,Passenger,1,0,1,36,37,2.7,Northeast
2019,Juneau,AK,Passenger,0,2,2,27,29,6.9,West
2017,Missoula,MT,Passenger,1,0,1,70,71,1.41,West
2020,Denver,CO,Passenger,1,0,1,114,115,0.87,West
2021,Moore,NC,Passenger,0,1,1,127,128,0.78,South
2020,DeKalb,GA,Passenger,1,0,1,87,88,1.14,South
2019,Marion,IN,Passenger,1,0,1,113,114,0.88,Midwest
2023,Meade,KY,Passenger,1,0,1,15,16,6.25,South
2020,Montgomery,OH,Passenger,0,1,1,47,48,2.08,Midwest
2021,Richland,SC,Passenger,0,1,1,139,140,0.71,South
2023,Douglas,CO,Passenger,0,1,1,63,64,1.56,West
2021,New Haven,CT,Passenger,0,2,2,36,38,5.26,Northeast
2022,Harrison,MS,Passenger,2,0,2,44,46,4.35,South
2020,Arlington,VA,Passenger,0,2,2,145,147,1.36,South
2023,Calvert,MD,Passenger,1,1,2,69,71,2.82,Northeast
2023,Goochland,VA,Passenger,0,1,1,40,41,2.44,South
2018,Shelby,TN,Passenger,0,1,1,104,105,0.95,South
2019,Alameda,CA,Passenger,4,2,6,305,311,1.93,West
2023,Miami-Dade,FL,Passenger,1,0,1,63,64,1.56,South
2022,Randolph,NC,Passenger,1,0,1,5,6,16.67,South
2019,Deschutes,OR,Passenger,3,0,3,156,159,1.89,West
2019,Sumter,FL,Passenger,0,1,1,10,11,9.09,South
2023,San Diego,CA,Passenger,18,9,27,2117,2144,1.26,West
2022,District of Columbia,DC,Passenger,4,0,4,179,183,2.19,
2017,Hamilton,IN,Passenger,1,0,1,73,74,1.35,Midwest
2022,Solano,CA,Passenger,1,0,1,178,179,0.56,West
2018,Marion,OR,Passenger,1,0,1,124,125,0.8,West
2020,Spartanburg,SC,Passenger,0,1,1,51,52,1.92,South
2018,Manassas,VA,Passenger,0,1,1,9,10,10.0,South
2021,Harnett,NC,Passenger,1,1,2,182,184,1.09,South
2019,Jefferson,CO,Passenger,0,2,2,61,63,3.17,West
2021,Okaloosa,FL,Passenger,0,1,1,118,119,0.84,South
2021,Oldham,KY,Passenger,0,1,1,4,5,20.0,South
2021,El Paso,CO,Passenger,3,1,4,679,683,0.59,West
2021,Cook,IL,Passenger,2,0,2,209,211,0.95,Midwest
2018,Clackamas,OR,Passenger,0,1,1,224,225,0.44,West
2023,Boulder,CO,Passenger,2,0,2,30,32,6.25,West
2018,Queens,NY,Passenger,1,0,1,62,63,1.59,Northeast
2021,Alameda,CA,Passenger,5,0,5,228,233,2.15,West
2017,Twin Falls,ID,Passenger,0,1,1,24,25,4.0,West
2021,Carroll,MD,Passenger,0,1,1,21,22,4.55,Northeast
2020,Lake,FL,Passenger,1,0,1,22,23,4.35,South
2021,Ray,MO,Passenger,0,1,1,1,2,50.0,Midwest
2022,Fairfax,VA,Passenger,7,3,10,591,601,1.66,South
2022,Lake,IL,Passenger,3,0,3,153,156,1.92,Midwest
2019,Goochland,VA,Passenger,2,1,3,265,268,1.12,South
2023,Kent,DE,Passenger,1,0,1,38,39,2.56,Northeast
2021,Ulster,NY,Passenger,1,0,1,11,12,8.33,Northeast
2020,San Diego,CA,Passenger,15,6,21,2771,2792,0.75,West
2017,San Mateo,CA,Passenger,0,1,1,147,148,0.68,West
2020,Monterey,CA,Passenger,0,1,1,164,165,0.61,West
2020,Fresno,CA,Passenger,1,0,1,191,192,0.52,West
2020,Saginaw,MI,Passenger,1,0,1,11,12,8.33,Midwest
2019,Virginia Beach,VA,Passenger,2,1,3,706,709,0.42,South
2017,Dallas,TX,Passenger,0,1,1,182,183,0.55,South
2019,San Francisco,CA,Passenger,2,1,3,108,111,2.7,West
2020,Fairbanks North Star,AK,Passenger,0,1,1,98,99,1.01,West
2021,Harrison,MS,Passenger,2,0,2,44,46,4.35,South
2017,Franklin,MA,Passenger,0,1,1,4,5,20.0,Northeast
2018,Kootenai,ID,Passenger,0,1,1,220,221,0.45,West
2019,Flathead,MT,Passenger,1,0,1,65,66,1.52,West
2019,Oklahoma,OK,Passenger,0,1,1,129,130,0.77,South
2019,San Francisco,CA,Passenger,2,1,3,116,119,2.52,West
2022,San Diego,CA,Passenger,18,9,27,2173,2200,1.23,West
2020,Suffolk,VA,Passenger,1,0,1,128,129,0.78,South
